"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1965","Census Tract 701902","492","Census Tract 601211","6/1/2018 - 8/31/2018, Every day, Daily Average",1872,1197,2926
"1965","Census Tract 701902","493","Census Tract 601212","6/1/2018 - 8/31/2018, Every day, Daily Average",2187,1427,3349
"1965","Census Tract 701902","494","Census Tract 601301","6/1/2018 - 8/31/2018, Every day, Daily Average",2172,1405,3355
"1965","Census Tract 701902","495","Census Tract 601302","6/1/2018 - 8/31/2018, Every day, Daily Average",1242,766,2012
"1965","Census Tract 701902","496","Census Tract 601303","6/1/2018 - 8/31/2018, Every day, Daily Average",2034,1316,3143
"1965","Census Tract 701902","497","Census Tract 601401","6/1/2018 - 8/31/2018, Every day, Daily Average",1274,793,2046
"1965","Census Tract 701902","498","Census Tract 601402","6/1/2018 - 8/31/2018, Every day, Daily Average",1288,812,2041
"1965","Census Tract 701902","499","Census Tract 601501","6/1/2018 - 8/31/2018, Every day, Daily Average",1323,836,2093
"1965","Census Tract 701902","500","Census Tract 601700","6/1/2018 - 8/31/2018, Every day, Daily Average",1781,1159,2734
"1965","Census Tract 701902","501","Census Tract 601801","6/1/2018 - 8/31/2018, Every day, Daily Average",2138,1402,3259
"1965","Census Tract 701902","502","Census Tract 601802","6/1/2018 - 8/31/2018, Every day, Daily Average",1938,1259,2980
"1965","Census Tract 701902","503","Census Tract 601900","6/1/2018 - 8/31/2018, Every day, Daily Average",2194,1433,3357
"1965","Census Tract 701902","504","Census Tract 602003","6/1/2018 - 8/31/2018, Every day, Daily Average",1926,1255,2954
"1965","Census Tract 701902","505","Census Tract 602004","6/1/2018 - 8/31/2018, Every day, Daily Average",2270,1507,3417
